method,ell,tau,m_front,mcrit,width,abs_err_to_full
measurement,2,0.44999999999999996,-0.7263788292004189,-0.33999999999999986,0.15501823266629738,0.36939283795180783
measurement,2,0.6,-0.7887964374449725,-0.6100000000000003,0.14175377424170513,0.4318104461963615
measurement,2,0.75,-0.8699942441867449,-0.6100000000000003,0.1253850291611206,0.3095460094934901
measurement,2,0.8999999999999999,-0.9550463041822119,-0.6100000000000003,0.1147574072248898,0.16176814201651069
measurement,2,1.05,-1.045536541657461,-0.8799999999999999,0.10838377657625027,0.11465369720050489
measurement,2,1.2,-1.1564507254694716,-0.8799999999999999,0.10649153648565575,0.2203010194537579
measurement,2,1.3499999999999999,-1.2837233000600068,-0.8799999999999999,0.10727577488703079,0.31354697262821407
measurement,2,1.95,-1.9556480317452365,-1.69,0.13549343623060983,0.3675987835869641
measurement,2,2.1,-2.1859360700704795,-1.96,0.1521502639225135,0.4421637958304747
measurement,2,2.25,-2.423730587855912,-2.5,0.18369587041243754,0.5071930251020027
measurement,2,2.4,-2.734164180390043,-2.77,0.21841555263037218,0.5293847503821185
measurement,2,2.55,-3.0557555152421885,-3.31,0.2883376588108037,0.3702067018000448
measurement,2,2.6999999999999997,-3.4873948437946614,-3.85,0.36181467453086125,0.4079413761941191
measurement,2,2.85,-4.039829426575289,-4.390000000000001,0.3779791475098963,0.40960405058871885
measurement,2,3.0,-4.533930539834015,-4.93,0.29459319681672225,0.41826099422809015
measurement,3,0.44999999999999996,-0.7505558791451972,-0.33999999999999986,0.138841079915287,0.39356988789658615
measurement,3,0.6,-0.8145204534679232,-0.6100000000000003,0.12893022897415513,0.4575344622193122
measurement,3,0.75,-0.8959004521671579,-0.6100000000000003,0.11822412481888121,0.3354522174739031
measurement,3,0.8999999999999999,-0.9824282466513884,-0.6100000000000003,0.10900163891228297,0.18915008448568715
measurement,3,1.05,-1.0701409461767852,-0.8799999999999999,0.10255540212428946,0.13925810171982922
measurement,3,1.2,-1.177362178966039,-0.8799999999999999,0.10323971280486331,0.24121247295032522
measurement,3,1.95,-1.9708776917632946,-1.69,0.1345812874078936,0.3828284436050222
measurement,3,2.1,-2.202664223124502,-1.96,0.15076005199513512,0.45889194888449714
measurement,3,2.25,-2.441403542918754,-2.5,0.18186196456316264,0.524865980164845
measurement,3,2.4,-2.75486436025705,-2.77,0.21672739728940305,0.5500849302491253
measurement,3,2.55,-3.082386296676737,-3.31,0.2845254241138573,0.39683748323459334
measurement,3,2.6999999999999997,-3.5231117236296576,-3.85,0.35298057451952985,0.44365825602911535
measurement,3,2.85,-4.075486555497902,-4.390000000000001,0.3656902142092793,0.4452611795113315
measurement,3,3.0,-4.565646112033455,-4.93,0.28275618605109376,0.44997656642753014
measurement,4,0.44999999999999996,-0.7403931030688948,-0.33999999999999986,0.1473400005026886,0.3834071118202838
measurement,4,0.6,-0.8014238380707077,-0.6100000000000003,0.13526319319373628,0.4444378468220967
measurement,4,0.75,-0.8812956623350161,-0.6100000000000003,0.12168809393678835,0.32084742764176133
measurement,4,0.8999999999999999,-0.9675792586357979,-0.6100000000000003,0.11186416056014749,0.17430109647009662
measurement,4,1.05,-1.0566409066044462,-0.8799999999999999,0.10514130179620665,0.1257580621474902
measurement,4,1.2,-1.1652426217772065,-0.8799999999999999,0.10463928055493776,0.22909291576149282
measurement,4,1.95,-1.9654081150737053,-1.69,0.13569599320844455,0.37735886691543286
measurement,4,2.1,-2.1978000413866763,-1.96,0.15185326487003517,0.4540277671466715
measurement,4,2.25,-2.437506052583963,-2.5,0.18294143480214836,0.5209684898300537
measurement,4,2.4,-2.7515229628456765,-2.77,0.2178575960566222,0.5467435328377519
measurement,4,2.55,-3.080740602918478,-3.31,0.28540804781801693,0.39519178947633415
measurement,4,2.6999999999999997,-3.522856611462888,-3.85,0.3531828022294491,0.4434031438623456
measurement,4,2.85,-4.075468416890015,-4.390000000000001,0.3657042206780351,0.4452430409034447
measurement,4,3.0,-4.565639879099411,-4.93,0.28276085526555034,0.4499703334934866
tomography,2,0.3,-0.4584157520748286,-0.33999999999999986,0.18189160531126036,0.10142976082621757
tomography,2,0.44999999999999996,-0.5153690348892758,-0.33999999999999986,0.17583609183769291,0.15838304364066474
tomography,2,0.6,-0.5895302612747896,-0.6100000000000003,0.17068573338274093,0.23254427002617856
tomography,2,0.75,-0.6768607948239274,-0.6100000000000003,0.15950094089505373,0.11641256013067258
tomography,2,0.8999999999999999,-0.7717141754767493,-0.6100000000000003,0.1494209110477168,0.021563986688951986
tomography,2,1.05,-0.870392462923393,-0.8799999999999999,0.14173830890063907,0.06049038153356301
tomography,2,1.2,-0.9581038114586347,-0.8799999999999999,0.14371768721513423,0.02195410544292098
tomography,2,1.3499999999999999,-1.0334482336514903,-0.8799999999999999,0.1531675178758748,0.06327190621969758
tomography,2,1.5,-1.1531092884032348,-1.1499999999999995,0.15900449782952789,0.08091657526697005
tomography,2,1.65,-1.3446498875299975,-1.42,0.15603656335226987,0.11458987742504068
tomography,2,1.7999999999999998,-1.553985463430468,-1.42,0.15637289964147016,0.13449232777888676
tomography,2,1.95,-1.7061281207543093,-1.69,0.1789495148567748,0.11807887259603689
tomography,2,2.1,-1.8253271410524006,-1.96,0.21618671314252944,0.08155486681239577
tomography,2,2.25,-1.9490982826140444,-2.5,0.2702596211987944,0.0325607198601352
tomography,2,2.4,-2.0705508874702967,-2.77,0.39532350539454764,0.13422854253762795
tomography,2,2.55,-1.8437898247220843,-3.31,0.7297697957509989,0.8417589887200594
tomography,2,2.6999999999999997,-3.039934612220343,-3.85,0.44948071569576475,0.03951885538019928
tomography,2,2.85,-3.5347972774597447,-4.390000000000001,0.48857447250304287,0.09542809852682543
tomography,2,3.0,-4.238388697984603,-4.93,0.3188437426356198,0.12271915237867859
tomography,3,0.44999999999999996,-0.2675129010167863,-0.33999999999999986,0.1014910922856538,0.0894730902318247
tomography,3,0.6,-0.4607520890266829,-0.6100000000000003,0.122093824469473,0.10376609777807189
tomography,3,0.75,-0.6390953843924359,-0.6100000000000003,0.14994132850546965,0.07864714969918107
tomography,3,0.8999999999999999,-0.7615566042511578,-0.6100000000000003,0.15802521853679075,0.03172155791454345
tomography,3,1.05,-0.832885753010735,-0.8799999999999999,0.1608257004866479,0.09799709144622104
tomography,3,1.2,-0.8949080304374729,-0.8799999999999999,0.16848710212643656,0.041241675578240766
tomography,3,1.3499999999999999,-1.0211590491620257,-0.8799999999999999,0.1599908399097627,0.050982721730232994
tomography,3,1.5,-1.1565168067322755,-1.1499999999999995,0.1599472976590159,0.08432409359601079
tomography,3,1.65,-1.3018034762383723,-1.42,0.16331440297076785,0.07174346613341553
tomography,3,1.7999999999999998,-1.476012532616572,-1.42,0.16408779826338618,0.056519396964990865
tomography,3,1.95,-1.6232290633767632,-1.69,0.17995376248068054,0.035179815218490784
tomography,3,2.1,-1.749525414942996,-1.96,0.24795418344708697,0.005753140702991155
tomography,3,2.25,-2.024687225400716,-2.5,0.2864905792462036,0.10814966264680681
tomography,3,2.4,-2.4130412615292705,-2.77,0.28988502031211993,0.2082618315213458
tomography,3,2.55,-2.838004342894072,-3.31,0.29879783510030894,0.1524555294519283
tomography,3,2.6999999999999997,-3.351495669266465,-3.85,0.3182536335387569,0.2720422016659225
tomography,3,2.85,-3.932512553333509,-4.390000000000001,0.32413068325546585,0.30228717734693866
tomography,3,3.0,-4.300465034764378,-4.93,0.2988176790636503,0.18479548915845356
tomography,4,0.6,-0.3891114676984858,-0.6100000000000003,0.12301789845931656,0.03212547644987479
tomography,4,0.75,-0.5982542325696938,-0.6100000000000003,0.1566382336974882,0.03780599787643901
tomography,4,0.8999999999999999,-0.7275760768836649,-0.6100000000000003,0.19002264221801016,0.06570208528203636
tomography,4,1.05,-0.8262592202370826,-0.8799999999999999,0.2378486904435647,0.10462362421987337
tomography,4,1.2,-0.93616428351562,-0.8799999999999999,0.2319980831875081,1.4577499906298641e-05
tomography,4,1.3499999999999999,-1.0237820469873078,-0.8799999999999999,0.18642308890229886,0.053605719555515075
tomography,4,1.5,-1.134218125041685,-1.1499999999999995,0.17062957008728524,0.062025411905420214
tomography,4,1.65,-1.27326845947278,-1.42,0.17269139311615686,0.04320844936782309
tomography,4,1.7999999999999998,-1.4517238279235105,-1.42,0.17576864823637037,0.03223069227192932
tomography,4,1.95,-1.605444594830498,-1.69,0.19030394449299412,0.017395346672225642
tomography,4,2.1,-1.773603601787382,-1.96,0.2351843807048042,0.029831327547377162
tomography,4,2.25,-2.001519889249452,-2.5,0.31907691754543704,0.08498232649554271
tomography,4,2.4,-2.3942164665894805,-2.77,0.3230840294146387,0.18943703658155586
tomography,4,2.55,-2.6381549311174686,-3.31,0.3851182271385659,0.04739388232467512
tomography,4,2.6999999999999997,-3.0641126317204654,-3.85,0.5037965770294465,0.015340835880076842
tomography,4,2.85,-3.735263653377355,-4.390000000000001,0.41369256352240036,0.10503827739078497
tomography,4,3.0,-4.155656950736607,-4.93,0.41400415949726316,0.039987405130682774
full,0,0.6,-0.356985991248611,-0.6100000000000003,0.10874407168228258,0.0
full,0,0.75,-0.5604482346932548,-0.6100000000000003,0.15045907101367728,0.0
full,0,0.8999999999999999,-0.7932781621657012,-0.6100000000000003,0.27539351788454025,0.0
full,0,1.05,-0.930882844456956,-0.8799999999999999,0.2961577519448878,0.0
full,0,1.2,-0.9361497060157137,-0.8799999999999999,0.2495781076523744,0.0
full,0,1.3499999999999999,-0.9701763274317927,-0.8799999999999999,0.21389686855567414,0.0
full,0,1.5,-1.0721927131362647,-1.1499999999999995,0.20128769223227622,0.0
full,0,1.65,-1.2300600101049568,-1.42,0.19092712079166183,0.0
full,0,1.7999999999999998,-1.4194931356515812,-1.42,0.18279426482389627,0.0
full,0,1.95,-1.5880492481582724,-1.69,0.20346870095768896,0.0
full,0,2.1,-1.7437722742400048,-1.96,0.24685481936236822,0.0
full,0,2.25,-1.9165375627539092,-2.5,0.3129440658125965,0.0
full,0,2.4,-2.2047794300079246,-2.77,0.4178249705643098,0.0
full,0,2.55,-2.6855488134421437,-3.31,0.4328439413122913,0.0
full,0,2.6999999999999997,-3.0794534676005423,-3.85,0.44628232773375776,0.0
full,0,2.85,-3.63022537598657,-4.390000000000001,0.50401226464174,0.0
full,0,3.0,-4.1156695456059245,-4.93,0.35945015289888693,0.0
