category,label,profile_mae_to_ref,profile_rmse_to_ref
N_scan,N=6,0.021789035541357887,0.03686563868717335
N_scan,N=8,0.0,0.0
N_scan,N=10,0.056094959735829335,0.08633232598428929
L_scan,L=0.5,0.0073728654024996666,0.01070523119093618
L_scan,L=1.0,0.0,0.0
L_scan,L=2.0,0.012318356858749427,0.020242715490059317
LOCC_meas,ell=2,0.054528405545608796,0.08576092212608252
LOCC_meas,ell=3,0.05807555177785029,0.09262242344784198
LOCC_meas,ell=4,0.05791798141722404,0.09299038861446213
LOCC_tomo,ell=2,0.042931426990143386,0.060274799184949435
LOCC_tomo,ell=3,0.03480432947915556,0.059781923896062863
LOCC_tomo,ell=4,0.014172815546435295,0.02116257030860265
